Sentiment,UserPreference,Genre_small,Popularity,ReadLength,Recommendation
Neutral,AuthorLoyal,Nature,Very High,long,Yes
Neutral,AuthorLoyal,"Body, Mind & Spirit",Very High,long,Yes
Neutral,AuthorLoyal,Law,Medium,long,No
Neutral,AuthorLoyal,Philosophy,Very High,long,Yes
Negative,AuthorLoyal,Children of Holocaust survivors,Very High,medium,Yes
Negative,AuthorLoyal,Children of Holocaust survivors,Very High,medium,Yes
Neutral,AuthorLoyal,Fiction,Very High,long,Yes
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes
Positive,AuthorLoyal,Religion,Very High,short,Yes
Neutral,AuthorLoyal,Fiction,Very High,long,Yes
Neutral,AuthorLoyal,Juvenile Fiction,Very High,medium,Yes
Negative,AuthorLoyal,Juvenile Fiction,Very High,short,Yes
Neutral,AuthorLoyal,Christmas stories,Medium,medium,Yes
Neutral,AuthorLoyal,Christian life,Very High,short,Yes
Neutral,AuthorLoyal,Christian life,Very High,short,Yes
Neutral,AuthorLoyal,Christian life,Very High,short,Yes
Neutral,AuthorLoyal,Christian life,Very High,short,Yes
Negative,AuthorLoyal,Christmas stories,Very High,medium,Yes
Neutral,AuthorLoyal,Christmas stories,Medium,medium,Yes
Positive,AuthorLoyal,Christian life,Medium,medium,No
Negative,AuthorLoyal,English fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Religion,Very High,short,Yes
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes
Negative,AuthorLoyal,Fiction,Very High,medium,Yes
Negative,AuthorLoyal,Fiction,Very High,long,Yes
Negative,AuthorLoyal,Fiction,Very High,medium,Yes
Positive,GenreFan,Clergy,Very High,long,Yes
Positive,GenreFan,Clergy,Very High,long,Yes
Neutral,GenreFan,Igbo (African people),High,short,No
Negative,GenreFan,Fiction,Very High,long,Yes
Neutral,GenreFan,Fiction,Very High,medium,Yes
Neutral,GenreFan,Travel,High,long,No
Neutral,GenreFan,Poetry,Very High,short,Yes
Neutral,GenreFan,Fiction,Very High,long,Yes
Negative,CasualReader,Boarding school-fiction,Very High,medium,Yes
Negative,CasualReader,Boarding school-fiction,Very High,medium,Yes
Neutral,CasualReader,Fiction,Very High,long,Yes
Neutral,CasualReader,Philosophy,Very High,long,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Positive,CasualReader,Literary Collections,Very High,long,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,"Short stories, English",Very High,long,Yes
Negative,CasualReader,Gambling,Very High,medium,Yes
Negative,CasualReader,Gambling,Very High,medium,Yes
Neutral,CasualReader,"Short stories, English",Very High,long,Yes
Negative,CasualReader,Fiction,Very High,long,Yes
Neutral,CasualReader,Philosophy,Very High,medium,Yes
Neutral,CasualReader,Allegories,Very High,medium,Yes
Neutral,CasualReader,Philosophy,Very High,long,Yes
Negative,CasualReader,"Nanjing (Jiangsu Sheng, China)",High,medium,Yes
Neutral,CasualReader,Fiction,Very High,long,Yes
